"percentile","benchmark","phenes_est","phest_est","quan_est","mean_est"
"0","166","154.561816927637","181.755796145624","183",NA
"0.01","174","155.597085891418",NA,"183.09",NA
"0.05","180","168.450905251684",NA,"183.45",NA
"0.1","183","174.85633940346",NA,"183.9",NA
"0.5","197","192.712286221144",NA,"191",NA
"0.9","211","204.663703192171",NA,"200.2",NA
"0.95","214","207.686326122328",NA,"205.6",NA
"0.99","221","212.541810910457",NA,"209.92",NA
"1","229","213.813447320468","225.912933229291","211",NA
"mean","196.266",NA,NA,NA,"192.1"
