"percentile","benchmark","phenes_est","phest_est","quan_est","mean_est"
"0","92","106.385289164782","115.587860532695","116",NA
"0.01","100","107.320453015042",NA,"116",NA
"0.05","106","111.258135081287",NA,"116",NA
"0.1","110","113.288155518266",NA,"116",NA
"0.5","123","118.564082083055",NA,"117.5",NA
"0.9","137","121.956993704436",NA,"122.6",NA
"0.95","141","122.675928361647",NA,"123",NA
"0.99","149","124.144861097151",NA,"123",NA
"1","161","124.943949578723","129.477340099422","123",NA
"mean","122.885",NA,NA,NA,"118.25"
