gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2603427524	StillImage	image/jpeg	https://static.inaturalist.org/photos/66602491/original.jpg?1586657985	https://www.inaturalist.org/photos/66602491					2020-04-11T11:11:20Z	Carrie Seltzer		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Carrie Seltzer
2603426535	StillImage	image/jpeg	https://static.inaturalist.org/photos/66552973/original.jpg?1586637251	https://www.inaturalist.org/photos/66552973					2020-04-11T20:33:51Z	lizardbean		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	lizardbean
2603425671	StillImage	image/jpeg	https://static.inaturalist.org/photos/66686980/original.jpeg?1586716370	https://www.inaturalist.org/photos/66686980					2018-03-31T12:18:23Z	Catherine		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Catherine
2603421300	StillImage	image/jpeg	https://static.inaturalist.org/photos/66410075/original.jpg?1586550789	https://www.inaturalist.org/photos/66410075					2020-04-08T16:18:55Z	maddyxkirkland		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	maddyxkirkland
2603421108	StillImage	image/jpeg	https://static.inaturalist.org/photos/63026810/original.jpg?1583690920	https://www.inaturalist.org/photos/63026810					2020-03-08T13:08:18Z	kenerickson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kenerickson
2603420079	StillImage	image/jpeg	https://static.inaturalist.org/photos/66982751/original.jpg?1586901807	https://www.inaturalist.org/photos/66982751					2020-04-14T16:57:32Z	nealkelso		iNaturalist	http://creativecommons.org/licenses/by/4.0/	nealkelso
2603420079	StillImage	image/jpeg	https://static.inaturalist.org/photos/66982792/original.jpg?1586901830	https://www.inaturalist.org/photos/66982792					2020-04-14T16:57:32Z	nealkelso		iNaturalist	http://creativecommons.org/licenses/by/4.0/	nealkelso
2603420079	StillImage	image/jpeg	https://static.inaturalist.org/photos/66982693/original.jpg?1586901774	https://www.inaturalist.org/photos/66982693					2020-04-14T16:57:32Z	nealkelso		iNaturalist	http://creativecommons.org/licenses/by/4.0/	nealkelso
2603419872	StillImage	image/jpeg	https://static.inaturalist.org/photos/66849730/original.jpg?1586810532	https://www.inaturalist.org/photos/66849730					2020-04-13T20:09:34Z	Paula		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Paula
2603419872	StillImage	image/jpeg	https://static.inaturalist.org/photos/66848715/original.jpg?1586810038	https://www.inaturalist.org/photos/66848715					2020-04-13T20:09:34Z	Paula		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Paula
2603419515	StillImage	image/jpeg	https://static.inaturalist.org/photos/66575872/original.jpeg?1586645676	https://www.inaturalist.org/photos/66575872					2020-04-04T15:56:35Z	Tammy Schwab		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Tammy Schwab
2603419515	StillImage	image/jpeg	https://static.inaturalist.org/photos/66575890/original.jpeg?1586645683	https://www.inaturalist.org/photos/66575890					2020-04-04T15:56:11Z	Tammy Schwab		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Tammy Schwab
2603408249	StillImage	image/jpeg	https://static.inaturalist.org/photos/66370043/original.jpg?1586531474	https://www.inaturalist.org/photos/66370043					2020-04-10T20:10:24Z	tweeter		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	tweeter
2603407410	StillImage	image/jpeg	https://static.inaturalist.org/photos/67243272/original.jpg?1587079171	https://www.inaturalist.org/photos/67243272					2020-04-16T22:22:26Z	casadoray		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	casadoray
2603406881	StillImage	image/jpeg	https://static.inaturalist.org/photos/66824369/original.jpeg?1586797677	https://www.inaturalist.org/photos/66824369					2020-04-13T17:06:39Z	esnead_12		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	esnead_12
2603403364	StillImage	image/jpeg	https://static.inaturalist.org/photos/66458638/original.jpg?1586575771	https://www.inaturalist.org/photos/66458638					2020-04-10T15:15:29Z	Tom Arata		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Tom Arata
2603403286	StillImage	image/jpeg	https://static.inaturalist.org/photos/66390443/original.jpeg?1586541135	https://www.inaturalist.org/photos/66390443					2020-04-10T10:45:39Z	mckiernangonzalez		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	mckiernangonzalez
2603395265	StillImage	image/jpeg	https://static.inaturalist.org/photos/66397827/original.jpg?1586544819	https://www.inaturalist.org/photos/66397827					2020-04-10T16:03:31Z	Rick Travis		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Rick Travis
2603394713	StillImage	image/jpeg	https://static.inaturalist.org/photos/66716995/original.jpeg?1586727007	https://www.inaturalist.org/photos/66716995					2020-04-12T21:28:23Z	caylan		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	caylan
2603390737	StillImage	image/jpeg	https://static.inaturalist.org/photos/66736104/original.jpg?1586735094	https://www.inaturalist.org/photos/66736104					2020-04-12T23:43:44Z	Paula		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Paula
2603390737	StillImage	image/jpeg	https://static.inaturalist.org/photos/66736133/original.jpg?1586735108	https://www.inaturalist.org/photos/66736133					2020-04-12T23:43:44Z	Paula		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Paula
2603390273	StillImage	image/jpeg	https://static.inaturalist.org/photos/66393979/original.jpg?1586542866	https://www.inaturalist.org/photos/66393979					2020-04-10T13:20:28Z	thorfamily5		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	thorfamily5
2603389202	StillImage	image/jpeg	https://static.inaturalist.org/photos/67095344/original.jpeg?1586982977	https://www.inaturalist.org/photos/67095344					2020-04-15T12:26:42Z	Jean Suplick		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jean Suplick
2603389202	StillImage	image/jpeg	https://static.inaturalist.org/photos/67095356/original.jpeg?1586982982	https://www.inaturalist.org/photos/67095356					2020-04-15T12:26:02Z	Jean Suplick		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jean Suplick
2603387145	StillImage	image/jpeg	https://static.inaturalist.org/photos/67009749/original.jpeg?1586917628	https://www.inaturalist.org/photos/67009749					2020-04-14T17:37:06Z	stella20009		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	stella20009
2603383300	StillImage	image/jpeg	https://static.inaturalist.org/photos/67176013/original.jpg?1587045355	https://www.inaturalist.org/photos/67176013					2020-04-16T13:30:01Z	cchronister		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cchronister
2603383300	StillImage	image/jpeg	https://static.inaturalist.org/photos/67175996/original.jpg?1587045344	https://www.inaturalist.org/photos/67175996					2020-04-16T13:30:01Z	cchronister		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cchronister
2603383244	StillImage	image/jpeg	https://static.inaturalist.org/photos/67130153/original.jpg?1587000364	https://www.inaturalist.org/photos/67130153					2020-04-16T01:20:43Z	breanna_le		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	breanna_le
2603382258	StillImage	image/jpeg	https://static.inaturalist.org/photos/67113319/original.jpg?1586991190	https://www.inaturalist.org/photos/67113319					2020-04-15T19:16:19Z	Frederick Nunley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Frederick Nunley
