"estimate","true_value","distance","obs","sd","estimator","perc","Q"
205.316856376796,196.61,8.70685637679611,10,10,"mean","Mean",50.5
205.93123521375,196.61,9.3212352137499,10,10,"mean","Mean",50.5
200.47972429711,196.61,3.86972429710988,10,10,"mean","Mean",50.5
200.605973207848,196.61,3.99597320784827,10,10,"mean","Mean",50.5
210.919276258472,196.61,14.3092762584723,10,10,"mean","Mean",50.5
211.499760422891,196.61,14.889760422891,10,10,"mean","Mean",50.5
195.379412981572,196.61,-1.23058701842754,10,10,"mean","Mean",50.5
174.319880087618,196.61,-22.2901199123819,10,10,"mean","Mean",50.5
205.71960370843,196.61,9.1096037084302,10,10,"mean","Mean",50.5
187.491038465781,196.61,-9.11896153421878,10,10,"mean","Mean",50.5
212.841620212135,196.61,16.2316202121348,10,10,"mean","Mean",50.5
200.602363064178,196.61,3.99236306417822,10,10,"mean","Mean",50.5
193.279810238086,196.61,-3.33018976191411,10,10,"mean","Mean",50.5
197.048247896817,196.61,0.438247896816648,10,10,"mean","Mean",50.5
200.480685373655,196.61,3.87068537365471,10,10,"mean","Mean",50.5
195.363466529711,196.61,-1.24653347028874,10,10,"mean","Mean",50.5
197.771097742977,196.61,1.16109774297664,10,10,"mean","Mean",50.5
207.592408258449,196.61,10.9824082584489,10,10,"mean","Mean",50.5
192.102647392957,196.61,-4.50735260704332,10,10,"mean","Mean",50.5
200.646673521846,196.61,4.03667352184601,10,10,"mean","Mean",50.5
196.308802176684,196.61,-0.301197823315619,10,10,"mean","Mean",50.5
194.202746843762,196.61,-2.40725315623848,10,10,"mean","Mean",50.5
211.665025740008,196.61,15.0550257400078,10,10,"mean","Mean",50.5
209.765786299073,196.61,13.1557862990734,10,10,"mean","Mean",50.5
178.694864376442,196.61,-17.9151356235578,10,10,"mean","Mean",50.5
196.147638136767,196.61,-0.46236186323307,10,10,"mean","Mean",50.5
201.436159241216,196.61,4.82615924121606,10,10,"mean","Mean",50.5
196.529439429009,196.61,-0.0805605709911674,10,10,"mean","Mean",50.5
189.118440323545,196.61,-7.49155967645535,10,10,"mean","Mean",50.5
200.428630372274,196.61,3.8186303722741,10,10,"mean","Mean",50.5
206.286503827117,196.61,9.67650382711702,10,10,"mean","Mean",50.5
185.645203261696,196.61,-10.9647967383043,10,10,"mean","Mean",50.5
202.995903154346,196.61,6.38590315434624,10,10,"mean","Mean",50.5
189.211584313457,196.61,-7.39841568654316,10,10,"mean","Mean",50.5
201.203531087003,196.61,4.59353108700304,10,10,"mean","Mean",50.5
191.382792439137,196.61,-5.22720756086264,10,10,"mean","Mean",50.5
204.499139270526,196.61,7.88913927052647,10,10,"mean","Mean",50.5
188.071381280174,196.61,-8.5386187198265,10,10,"mean","Mean",50.5
199.143587049845,196.61,2.53358704984532,10,10,"mean","Mean",50.5
164.060405258819,196.61,-32.549594741181,10,10,"mean","Mean",50.5
192.937731127973,196.61,-3.67226887202747,10,10,"mean","Mean",50.5
188.49974124153,196.61,-8.11025875846983,10,10,"mean","Mean",50.5
187.198590560605,196.61,-9.41140943939487,10,10,"mean","Mean",50.5
215.074448598889,196.61,18.4644485988888,10,10,"mean","Mean",50.5
200.722861252293,196.61,4.11286125229313,10,10,"mean","Mean",50.5
197.380015802144,196.61,0.770015802143917,10,10,"mean","Mean",50.5
190.140487811569,196.61,-6.469512188431,10,10,"mean","Mean",50.5
187.749936473197,196.61,-8.8600635268034,10,10,"mean","Mean",50.5
198.74211760795,196.61,2.13211760795019,10,10,"mean","Mean",50.5
191.869120178811,196.61,-4.74087982118851,10,10,"mean","Mean",50.5
193.080581756817,196.61,-3.5294182431829,10,10,"mean","Mean",50.5
175.716494433566,196.61,-20.8935055664342,10,10,"mean","Mean",50.5
184.044012260812,196.61,-12.5659877391885,10,10,"mean","Mean",50.5
187.664607755237,196.61,-8.9453922447633,10,10,"mean","Mean",50.5
206.990380821709,196.61,10.3803808217092,10,10,"mean","Mean",50.5
206.834797695624,196.61,10.2247976956243,10,10,"mean","Mean",50.5
201.938116447058,196.61,5.32811644705811,10,10,"mean","Mean",50.5
208.468207643546,196.61,11.8582076435464,10,10,"mean","Mean",50.5
177.963517649057,196.61,-18.6464823509426,10,10,"mean","Mean",50.5
