"estimate","true_value","distance","obs","sd","estimator","perc","Q"
177.395666294684,162.68,14.715666294684,10,10,"naive","onset",0
183.779363958413,162.68,21.0993639584127,10,10,"naive","onset",0
184.455840237665,162.68,21.7758402376649,10,10,"naive","onset",0
180.899942174598,162.68,18.2199421745978,10,10,"naive","onset",0
177.310278502344,162.68,14.6302785023435,10,10,"naive","onset",0
185.143038416812,162.68,22.4630384168117,10,10,"naive","onset",0
181.820301106109,162.68,19.1403011061092,10,10,"naive","onset",0
192.611639084909,162.68,29.9316390849094,10,10,"naive","onset",0
182.57561373417,162.68,19.8956137341698,10,10,"naive","onset",0
172.584484755877,162.68,9.90448475587687,10,10,"naive","onset",0
179.951473832037,162.68,17.2714738320371,10,10,"naive","onset",0
175.597388788578,162.68,12.9173887885778,10,10,"naive","onset",0
175.605544479588,162.68,12.9255444795876,10,10,"naive","onset",0
180.877299736277,162.68,18.197299736277,10,10,"naive","onset",0
181.178506240278,162.68,18.4985062402775,10,10,"naive","onset",0
175.973552784338,162.68,13.2935527843383,10,10,"naive","onset",0
179.797112315008,162.68,17.1171123150076,10,10,"naive","onset",0
191.026682444844,162.68,28.3466824448438,10,10,"naive","onset",0
174.527165213485,162.68,11.8471652134848,10,10,"naive","onset",0
184.809180476887,162.68,22.129180476887,10,10,"naive","onset",0
178.118623973826,162.68,15.4386239738255,10,10,"naive","onset",0
186.059044483839,162.68,23.3790444838392,10,10,"naive","onset",0
180.926980197235,162.68,18.2469801972354,10,10,"naive","onset",0
180.145886454285,162.68,17.4658864542854,10,10,"naive","onset",0
182.672703180114,162.68,19.9927031801135,10,10,"naive","onset",0
181.201109274624,162.68,18.5211092746239,10,10,"naive","onset",0
182.000462507594,162.68,19.3204625075937,10,10,"naive","onset",0
172.826694758385,162.68,10.1466947583846,10,10,"naive","onset",0
179.241866902144,162.68,16.5618669021438,10,10,"naive","onset",0
180.145886454285,162.68,17.4658864542854,10,10,"naive","onset",0
180.367475107795,162.68,17.6874751077947,10,10,"naive","onset",0
180.835466366698,162.68,18.1554663666979,10,10,"naive","onset",0
188.248827860885,162.68,25.5688278608846,10,10,"naive","onset",0
184.230826708127,162.68,21.5508267081269,10,10,"naive","onset",0
183.659489654096,162.68,20.9794896540956,10,10,"naive","onset",0
179.797112315008,162.68,17.1171123150076,10,10,"naive","onset",0
182.437811462319,162.68,19.7578114623192,10,10,"naive","onset",0
180.652470840589,162.68,17.9724708405894,10,10,"naive","onset",0
178.104547065134,162.68,15.4245470651336,10,10,"naive","onset",0
172.313647729743,162.68,9.63364772974305,10,10,"naive","onset",0
178.465995613145,162.68,15.7859956131448,10,10,"naive","onset",0
189.609012502755,162.68,26.9290125027552,10,10,"naive","onset",0
181.846578658857,162.68,19.1665786588567,10,10,"naive","onset",0
176.495324053592,162.68,13.8153240535922,10,10,"naive","onset",0
173.530029767028,162.68,10.8500297670279,10,10,"naive","onset",0
179.992576069235,162.68,17.312576069235,10,10,"naive","onset",0
174.154951964091,162.68,11.4749519640906,10,10,"naive","onset",0
182.271692253064,162.68,19.5916922530636,10,10,"naive","onset",0
181.326898865318,162.68,18.6468988653177,10,10,"naive","onset",0
184.113653984992,162.68,21.4336539849918,10,10,"naive","onset",0
188.355795093252,162.68,25.6757950932516,10,10,"naive","onset",0
174.321796270065,162.68,11.641796270065,10,10,"naive","onset",0
179.157691374401,162.68,16.477691374401,10,10,"naive","onset",0
177.176776388395,162.68,14.4967763883946,10,10,"naive","onset",0
178.43900285046,162.68,15.7590028504603,10,10,"naive","onset",0
181.462595455209,162.68,18.7825954552086,10,10,"naive","onset",0
182.633142422816,162.68,19.9531424228159,10,10,"naive","onset",0
177.965953157851,162.68,15.285953157851,10,10,"naive","onset",0
180.877299736277,162.68,18.197299736277,10,10,"naive","onset",0
183.38795675329,162.68,20.7079567532898,10,10,"naive","onset",0
183.015740896588,162.68,20.3357408965883,10,10,"naive","onset",0
180.176504401662,162.68,17.4965044016615,10,10,"naive","onset",0
180.858509222483,162.68,18.1785092224834,10,10,"naive","onset",0
177.545648816786,162.68,14.8656488167864,10,10,"naive","onset",0
182.898870923773,162.68,20.2188709237731,10,10,"naive","onset",0
184.017654065664,162.68,21.3376540656642,10,10,"naive","onset",0
183.019519818733,162.68,20.3395198187326,10,10,"naive","onset",0
182.507727716609,162.68,19.8277277166092,10,10,"naive","onset",0
174.379836279224,162.68,11.6998362792241,10,10,"naive","onset",0
183.07209781618,162.68,20.3920978161802,10,10,"naive","onset",0
179.716514949644,162.68,17.0365149496443,10,10,"naive","onset",0
180.955947904888,162.68,18.2759479048878,10,10,"naive","onset",0
179.925729401849,162.68,17.2457294018488,10,10,"naive","onset",0
170.827939987757,162.68,8.1479399877573,10,10,"naive","onset",0
175.892974522847,162.68,13.2129745228474,10,10,"naive","onset",0
181.86365313874,162.68,19.1836531387395,10,10,"naive","onset",0
179.731173145711,162.68,17.0511731457106,10,10,"naive","onset",0
181.082867436608,162.68,18.4028674366079,10,10,"naive","onset",0
181.54150361076,162.68,18.8615036107603,10,10,"naive","onset",0
170.049165053236,162.68,7.36916505323583,10,10,"naive","onset",0
184.071363725089,162.68,21.3913637250891,10,10,"naive","onset",0
186.986411841317,162.68,24.3064118413175,10,10,"naive","onset",0
186.867016694518,162.68,24.1870166945179,10,10,"naive","onset",0
