"estimate","true_value","distance","obs","sd","estimator","perc","Q"
129.632830967836,113.29,16.3428309678357,10,10,"naive","onset",0
126.64496365925,113.29,13.3549636592503,10,10,"naive","onset",0
137.593052196318,113.29,24.3030521963181,10,10,"naive","onset",0
139.244283693101,113.29,25.9542836931009,10,10,"naive","onset",0
127.869310699107,113.29,14.5793106991065,10,10,"naive","onset",0
135.033728456442,113.29,21.743728456442,10,10,"naive","onset",0
135.404631083171,113.29,22.1146310831705,10,10,"naive","onset",0
144.936390326399,113.29,31.6463903263994,10,10,"naive","onset",0
133.691964542605,113.29,20.4019645426047,10,10,"naive","onset",0
134.749709210473,113.29,21.4597092104729,10,10,"naive","onset",0
138.40196710317,113.29,25.1119671031696,10,10,"naive","onset",0
138.812648312903,113.29,25.5226483129025,10,10,"naive","onset",0
132.645618024481,113.29,19.3556180244812,10,10,"naive","onset",0
128.333190565213,113.29,15.0431905652129,10,10,"naive","onset",0
136.890262598621,113.29,23.6002625986211,10,10,"naive","onset",0
125.576886789186,113.29,12.2868867891858,10,10,"naive","onset",0
137.725775232,113.29,24.4357752319998,10,10,"naive","onset",0
146.507872268781,113.29,33.2178722687806,10,10,"naive","onset",0
140.756784716179,113.29,27.466784716179,10,10,"naive","onset",0
140.716018368134,113.29,27.4260183681344,10,10,"naive","onset",0
132.912986876689,113.29,19.6229868766886,10,10,"naive","onset",0
143.842521109991,113.29,30.5525211099913,10,10,"naive","onset",0
129.649964615311,113.29,16.3599646153109,10,10,"naive","onset",0
143.414549449829,113.29,30.1245494498286,10,10,"naive","onset",0
130.8564057432,113.29,17.5664057431999,10,10,"naive","onset",0
131.345282874917,113.29,18.0552828749172,10,10,"naive","onset",0
137.75611001661,113.29,24.4661100166098,10,10,"naive","onset",0
124.686118414795,113.29,11.3961184147951,10,10,"naive","onset",0
134.268688489252,113.29,20.9786884892518,10,10,"naive","onset",0
137.930034213545,113.29,24.6400342135454,10,10,"naive","onset",0
139.145706704327,113.29,25.8557067043273,10,10,"naive","onset",0
137.593052196318,113.29,24.3030521963181,10,10,"naive","onset",0
144.13351908083,113.29,30.8435190808299,10,10,"naive","onset",0
128.76933941902,113.29,15.47933941902,10,10,"naive","onset",0
126.64496365925,113.29,13.3549636592503,10,10,"naive","onset",0
130.106483041366,113.29,16.8164830413663,10,10,"naive","onset",0
128.468122494134,113.29,15.1781224941343,10,10,"naive","onset",0
138.135413614205,113.29,24.8454136142053,10,10,"naive","onset",0
132.713350267987,113.29,19.4233502679871,10,10,"naive","onset",0
132.849968274254,113.29,19.5599682742535,10,10,"naive","onset",0
138.483545213611,113.29,25.1935452136112,10,10,"naive","onset",0
159.878382674549,113.29,46.5883826745488,10,10,"naive","onset",0
141.831224145461,113.29,28.5412241454614,10,10,"naive","onset",0
