"estimate","true_value","distance","obs","sd","estimator","perc","Q"
177.990464495451,162.68,15.3104644954514,10,10,"naive","onset",0
175.862668343989,162.68,13.1826683439886,10,10,"naive","onset",0
183.80484129298,162.68,21.1248412929799,10,10,"naive","onset",0
166.859990505312,162.68,4.17999050531154,10,10,"naive","onset",0
181.961186736383,162.68,19.2811867363827,10,10,"naive","onset",0
177.597446076618,162.68,14.9174460766181,10,10,"naive","onset",0
182.610027487595,162.68,19.9300274875951,10,10,"naive","onset",0
185.57026873523,162.68,22.8902687352295,10,10,"naive","onset",0
182.626542257511,162.68,19.9465422575107,10,10,"naive","onset",0
176.816520757514,162.68,14.1365207575136,10,10,"naive","onset",0
190.191414961388,162.68,27.5114149613883,10,10,"naive","onset",0
175.773642774585,162.68,13.093642774585,10,10,"naive","onset",0
177.100846017434,162.68,14.4208460174341,10,10,"naive","onset",0
186.217361587715,162.68,23.5373615877151,10,10,"naive","onset",0
181.381549163563,162.68,18.7015491635633,10,10,"naive","onset",0
196.507110044772,162.68,33.8271100447718,10,10,"naive","onset",0
183.779771480415,162.68,21.0997714804147,10,10,"naive","onset",0
191.080804174186,162.68,28.4008041741862,10,10,"naive","onset",0
184.233170434269,162.68,21.5531704342694,10,10,"naive","onset",0
179.79105298515,162.68,17.1110529851497,10,10,"naive","onset",0
176.816520757514,162.68,14.1365207575136,10,10,"naive","onset",0
186.788413765698,162.68,24.1084137656982,10,10,"naive","onset",0
184.129058514288,162.68,21.449058514288,10,10,"naive","onset",0
169.878362164413,162.68,7.19836216441311,10,10,"naive","onset",0
187.819237384609,162.68,25.1392373846086,10,10,"naive","onset",0
189.829239256459,162.68,27.1492392564592,10,10,"naive","onset",0
195.098707848049,162.68,32.418707848049,10,10,"naive","onset",0
188.884853994959,162.68,26.2048539949593,10,10,"naive","onset",0
182.437811462319,162.68,19.7578114623192,10,10,"naive","onset",0
187.908192879322,162.68,25.2281928793217,10,10,"naive","onset",0
189.397942038116,162.68,26.7179420381164,10,10,"naive","onset",0
186.992482397015,162.68,24.3124823970147,10,10,"naive","onset",0
181.949571225706,162.68,19.2695712257055,10,10,"naive","onset",0
191.198958628589,162.68,28.5189586285886,10,10,"naive","onset",0
187.392583580223,162.68,24.7125835802233,10,10,"naive","onset",0
175.45026919927,162.68,12.7702691992705,10,10,"naive","onset",0
182.029045169421,162.68,19.3490451694211,10,10,"naive","onset",0
188.867278715806,162.68,26.1872787158056,10,10,"naive","onset",0
184.780499092349,162.68,22.1004990923488,10,10,"naive","onset",0
188.172786939241,162.68,25.4927869392408,10,10,"naive","onset",0
183.345953972484,162.68,20.6659539724841,10,10,"naive","onset",0
181.117193843295,162.68,18.4371938432954,10,10,"naive","onset",0
184.280646612709,162.68,21.6006466127091,10,10,"naive","onset",0
182.094900848419,162.68,19.414900848419,10,10,"naive","onset",0
181.248801968721,162.68,18.5688019687208,10,10,"naive","onset",0
177.409486868748,162.68,14.7294868687485,10,10,"naive","onset",0
188.970026698106,162.68,26.2900266981057,10,10,"naive","onset",0
180.46008009595,162.68,17.7800800959502,10,10,"naive","onset",0
182.610027487595,162.68,19.9300274875951,10,10,"naive","onset",0
173.463628630977,162.68,10.7836286309771,10,10,"naive","onset",0
192.424839295478,162.68,29.7448392954776,10,10,"naive","onset",0
183.779363958413,162.68,21.0993639584127,10,10,"naive","onset",0
182.003571178308,162.68,19.3235711783084,10,10,"naive","onset",0
188.086934650434,162.68,25.4069346504338,10,10,"naive","onset",0
188.478629968647,162.68,25.7986299686467,10,10,"naive","onset",0
181.961186736383,162.68,19.2811867363827,10,10,"naive","onset",0
176.227541895525,162.68,13.5475418955255,10,10,"naive","onset",0
190.436739739801,162.68,27.7567397398011,10,10,"naive","onset",0
184.111905415473,162.68,21.4319054154726,10,10,"naive","onset",0
173.143976006808,162.68,10.4639760068079,10,10,"naive","onset",0
183.419491426746,162.68,20.7394914267455,10,10,"naive","onset",0
182.451645802526,162.68,19.7716458025263,10,10,"naive","onset",0
175.643826745755,162.68,12.9638267457554,10,10,"naive","onset",0
179.112688774729,162.68,16.4326887747292,10,10,"naive","onset",0
182.68296488755,162.68,20.0029648875503,10,10,"naive","onset",0
175.203306119343,162.68,12.5233061193427,10,10,"naive","onset",0
172.826397279193,162.68,10.1463972791935,10,10,"naive","onset",0
194.311141738655,162.68,31.6311417386553,10,10,"naive","onset",0
187.809136479846,162.68,25.1291364798464,10,10,"naive","onset",0
191.190782749181,162.68,28.5107827491815,10,10,"naive","onset",0
186.518991243362,162.68,23.838991243362,10,10,"naive","onset",0
184.048541204112,162.68,21.3685412041123,10,10,"naive","onset",0
190.590796363077,162.68,27.9107963630766,10,10,"naive","onset",0
180.499542984014,162.68,17.8195429840145,10,10,"naive","onset",0
181.043366474898,162.68,18.3633664748976,10,10,"naive","onset",0
183.971566424525,162.68,21.2915664245251,10,10,"naive","onset",0
183.419491426746,162.68,20.7394914267455,10,10,"naive","onset",0
188.021334469426,162.68,25.3413344694263,10,10,"naive","onset",0
177.176776388395,162.68,14.4967763883946,10,10,"naive","onset",0
186.355336020223,162.68,23.6753360202229,10,10,"naive","onset",0
175.893925873004,162.68,13.2139258730042,10,10,"naive","onset",0
183.090770522091,162.68,20.4107705220912,10,10,"naive","onset",0
178.417303199737,162.68,15.7373031997374,10,10,"naive","onset",0
189.403496937457,162.68,26.7234969374567,10,10,"naive","onset",0
187.386932978651,162.68,24.7069329786507,10,10,"naive","onset",0
193.245473474833,162.68,30.5654734748328,10,10,"naive","onset",0
183.438166940903,162.68,20.7581669409032,10,10,"naive","onset",0
188.417670041682,162.68,25.7376700416823,10,10,"naive","onset",0
182.66178733888,162.68,19.9817873388805,10,10,"naive","onset",0
181.745837241047,162.68,19.0658372410473,10,10,"naive","onset",0
182.905467843208,162.68,20.2254678432079,10,10,"naive","onset",0
191.894792277085,162.68,29.2147922770854,10,10,"naive","onset",0
185.211930447954,162.68,22.5319304479537,10,10,"naive","onset",0
183.163280592812,162.68,20.4832805928118,10,10,"naive","onset",0
180.686885370931,162.68,18.006885370931,10,10,"naive","onset",0
189.186735598747,162.68,26.5067355987473,10,10,"naive","onset",0
176.182696782605,162.68,13.5026967826049,10,10,"naive","onset",0
193.569396042518,162.68,30.8893960425181,10,10,"naive","onset",0
179.480614050383,162.68,16.8006140503834,10,10,"naive","onset",0
171.606603491513,162.68,8.92660349151305,10,10,"naive","onset",0
