"estimate","lowCI","highCI","true_value","distance","obs","sd","estimator","perc","Q"
160.967299779596,97.2009570140689,174.004655756962,162.68,-1.7127002204036,10,10,"pearse","onset",0
155.952533587976,73.4023229797907,168.662258640684,162.68,-6.72746641202377,10,10,"pearse","onset",0
179.383245320059,160.551789895042,183.613750063933,162.68,16.7032453200588,10,10,"pearse","onset",0
141.967813423421,33.1453536531174,156.154643432822,162.68,-20.7121865765794,10,10,"pearse","onset",0
177.640952938532,157.399552135153,181.835192746848,162.68,14.9609529385321,10,10,"pearse","onset",0
173.426899797208,152.549197277953,177.504823625955,162.68,10.7468997972082,10,10,"pearse","onset",0
171.488171940241,130.134374031279,180.366526930917,162.68,8.80817194024112,10,10,"pearse","onset",0
182.857066078786,168.534594089332,185.520101969815,162.68,20.1770660787861,10,10,"pearse","onset",0
169.151864907535,118.247962183843,179.469169891469,162.68,6.47186490753549,10,10,"pearse","onset",0
167.547502503676,132.61016763054,176.039707495657,162.68,4.86750250367623,10,10,"pearse","onset",0
188.979535891223,180.865849918912,190.184001414434,162.68,26.299535891223,10,10,"pearse","onset",0
164.775993917217,123.622194248299,174.641550631756,162.68,2.0959939172167,10,10,"pearse","onset",0
166.377405647017,126.99498057337,175.346350582681,162.68,3.69740564701692,10,10,"pearse","onset",0
181.177772308611,161.578926725185,185.873055633376,162.68,18.4977723086106,10,10,"pearse","onset",0
179.04473504467,166.620115272336,181.339997661468,162.68,16.3647350446699,10,10,"pearse","onset",0
195.941761314331,191.303616703851,196.50487750644,162.68,33.2617613143313,10,10,"pearse","onset",0
179.259262186914,160.016730129123,183.581727014151,162.68,16.5792621869144,10,10,"pearse","onset",0
188.861329933293,178.112047663083,191.02438610366,162.68,26.1813299332927,10,10,"pearse","onset",0
181.153831330878,164.586375131849,184.181464197646,162.68,18.4738313308778,10,10,"pearse","onset",0
173.288286525185,148.529428719018,178.955705838831,162.68,10.6082865251849,10,10,"pearse","onset",0
169.878391995759,142.620206546574,176.334012226955,162.68,7.19839199575901,10,10,"pearse","onset",0
184.609734570561,173.321170594054,186.747207619987,162.68,21.9297345705609,10,10,"pearse","onset",0
178.768133709676,156.755907102363,183.846520061256,162.68,16.0881337096758,10,10,"pearse","onset",0
151.773841860918,82.9261011621993,165.6058300873,162.68,-10.9061581390815,10,10,"pearse","onset",0
186.398345429404,176.464841920461,187.809295064316,162.68,23.718345429404,10,10,"pearse","onset",0
181.176022316993,147.854770894592,187.78608799619,162.68,18.4960223169934,10,10,"pearse","onset",0
193.607063035853,184.856146116402,195.082418315586,162.68,30.9270630358535,10,10,"pearse","onset",0
187.393880585126,178.675732233209,188.865883056102,162.68,24.7138805851256,10,10,"pearse","onset",0
177.508875000261,156.220453541339,182.234632418431,162.68,14.8288750002611,10,10,"pearse","onset",0
184.446708388765,169.628082157768,187.763137993688,162.68,21.7667083887645,10,10,"pearse","onset",0
185.797271705193,170.480336841548,189.242039166049,162.68,23.117271705193,10,10,"pearse","onset",0
184.058294473756,170.520990340852,186.902783474032,162.68,21.3782944737561,10,10,"pearse","onset",0
170.097273219833,124.899120086595,179.163889201108,162.68,7.41727321983296,10,10,"pearse","onset",0
189.900841690918,180.042984573005,191.192835770575,162.68,27.2208416909177,10,10,"pearse","onset",0
182.713680316312,162.183354765702,187.204361571156,162.68,20.0336803163115,10,10,"pearse","onset",0
161.874895791531,109.012930525117,171.719507989139,162.68,-0.805104208469231,10,10,"pearse","onset",0
179.341431927352,166.123988461874,181.964724012649,162.68,16.6614319273516,10,10,"pearse","onset",0
185.109558213859,167.123536490896,188.766675787263,162.68,22.4295582138591,10,10,"pearse","onset",0
179.746367359574,158.880224183348,184.530547321362,162.68,17.0663673595741,10,10,"pearse","onset",0
185.213343252559,172.622983431358,188.04204604953,162.68,22.5333432525588,10,10,"pearse","onset",0
168.149512680082,108.47392414853,179.481671736831,162.68,5.46951268008229,10,10,"pearse","onset",0
174.640433302615,147.534461747991,180.804774664721,162.68,11.9604333026155,10,10,"pearse","onset",0
179.485478251173,161.531450424471,183.854111119343,162.68,16.8054782511726,10,10,"pearse","onset",0
175.094751911076,147.274274621707,181.644033220826,162.68,12.4147519110761,10,10,"pearse","onset",0
179.049119456952,166.475088798366,181.219377782249,162.68,16.369119456952,10,10,"pearse","onset",0
172.990223410857,151.925154871286,177.289882158145,162.68,10.3102234108568,10,10,"pearse","onset",0
185.365577075678,170.36315234765,188.680946204769,162.68,22.6855770756779,10,10,"pearse","onset",0
175.813651274602,157.284628024214,180.169098130005,162.68,13.133651274602,10,10,"pearse","onset",0
172.304294275525,133.833815241105,181.290165753561,162.68,9.62429427552533,10,10,"pearse","onset",0
159.039984577701,105.287510123601,170.532189953324,162.68,-3.64001542229929,10,10,"pearse","onset",0
182.857293669887,144.435270018821,189.272781828239,162.68,20.1772936698866,10,10,"pearse","onset",0
181.395189346261,167.842212315989,183.748105537277,162.68,18.7151893462605,10,10,"pearse","onset",0
175.50390920737,150.870971766727,181.431719262453,162.68,12.8239092073701,10,10,"pearse","onset",0
184.29477189741,167.675026627233,187.93707292589,162.68,21.6147718974104,10,10,"pearse","onset",0
182.818319117314,160.448966707333,188.100804006692,162.68,20.1383191173145,10,10,"pearse","onset",0
176.818449539126,156.189323019205,181.664207371455,162.68,14.1384495391255,10,10,"pearse","onset",0
167.167478252425,133.56663554942,175.353042891229,162.68,4.48747825242452,10,10,"pearse","onset",0
188.532684047828,179.396685009328,190.386276793792,162.68,25.852684047828,10,10,"pearse","onset",0
175.842065959615,145.117394544984,182.921494555788,162.68,13.1620659596146,10,10,"pearse","onset",0
156.916943278566,95.1769630413165,170.365380461761,162.68,-5.76305672143417,10,10,"pearse","onset",0
179.56539054991,162.786203295657,183.270308546565,162.68,16.8853905499102,10,10,"pearse","onset",0
173.587312381247,138.942766921302,181.752683955853,162.68,10.9073123812466,10,10,"pearse","onset",0
169.152958838544,142.364076022079,175.323356793527,162.68,6.47295883854363,10,10,"pearse","onset",0
176.25437940268,157.855876850649,179.087426574201,162.68,13.5743794026799,10,10,"pearse","onset",0
177.251944458323,155.532299570292,182.346420205281,162.68,14.5719444583233,10,10,"pearse","onset",0
163.412760554037,118.776097258175,173.973985931193,162.68,0.732760554036616,10,10,"pearse","onset",0
163.016771670154,122.625479115685,172.254769749456,162.68,0.336771670153979,10,10,"pearse","onset",0
193.180054128413,185.803392203416,194.300941369703,162.68,30.500054128413,10,10,"pearse","onset",0
182.842064305509,163.8658864573,187.400484033869,162.68,20.1620643055091,10,10,"pearse","onset",0
189.155058908071,179.209545196555,191.140717334541,162.68,26.4750589080714,10,10,"pearse","onset",0
179.874010237475,155.643306003551,185.6247147491,162.68,17.1940102374751,10,10,"pearse","onset",0
180.209810827183,161.28758493994,183.959394713258,162.68,17.5298108271829,10,10,"pearse","onset",0
188.0227456466,176.551835170419,190.500536522763,162.68,25.3427456465996,10,10,"pearse","onset",0
174.054712329798,148.288111795749,180.082336976521,162.68,11.374712329798,10,10,"pearse","onset",0
173.397909278832,145.121687590288,180.087892915566,162.68,10.7179092788317,10,10,"pearse","onset",0
180.281163953611,161.611591252253,183.894647766351,162.68,17.6011639536106,10,10,"pearse","onset",0
175.703058891676,146.625171497165,182.629096876852,162.68,13.0230588916757,10,10,"pearse","onset",0
187.485414908197,183.285368790426,188.018696672097,162.68,24.805414908197,10,10,"pearse","onset",0
168.326683951576,134.482934070093,176.070887471542,162.68,5.64668395157616,10,10,"pearse","onset",0
183.332018725203,167.718236066127,186.295447081532,162.68,20.6520187252031,10,10,"pearse","onset",0
165.539837721968,126.753952143258,173.871516934496,162.68,2.85983772196801,10,10,"pearse","onset",0
170.060014614158,121.22661692556,180.034567942049,162.68,7.38001461415837,10,10,"pearse","onset",0
165.638858936173,117.337090569481,175.453173283253,162.68,2.9588589361733,10,10,"pearse","onset",0
182.126763748127,155.58409035649,188.448917781745,162.68,19.4467637481274,10,10,"pearse","onset",0
180.885233630176,156.711716203368,186.439465364224,162.68,18.2052336301756,10,10,"pearse","onset",0
189.659981646152,175.142430182602,193.021567012589,162.68,26.9799816461524,10,10,"pearse","onset",0
