"estimate","true_value","distance","obs","sd","estimator","perc","Q"
164.4886729467,162.68,1.80867294669994,10,10,"belitz","onset",0
170.087018649648,162.68,7.40701864964814,10,10,"belitz","onset",0
160.636974668241,162.68,-2.0430253317592,10,10,"belitz","onset",0
162.388759721871,162.68,-0.291240278128868,10,10,"belitz","onset",0
152.803529695958,162.68,-9.87647030404159,10,10,"belitz","onset",0
141.373044988856,162.68,-21.3069550111439,10,10,"belitz","onset",0
172.630943960154,162.68,9.95094396015352,10,10,"belitz","onset",0
155.668786486669,162.68,-7.01121351333123,10,10,"belitz","onset",0
173.715713232818,162.68,11.0357132328176,10,10,"belitz","onset",0
151.295535883093,162.68,-11.3844641169068,10,10,"belitz","onset",0
165.057943045235,162.68,2.37794304523538,10,10,"belitz","onset",0
156.006128449967,162.68,-6.67387155003337,10,10,"belitz","onset",0
163.93086903767,162.68,1.25086903767004,10,10,"belitz","onset",0
167.872212558116,162.68,5.19221255811587,10,10,"belitz","onset",0
154.408344560279,162.68,-8.27165543972069,10,10,"belitz","onset",0
175.781868344101,162.68,13.1018683441011,10,10,"belitz","onset",0
162.031586363878,162.68,-0.648413636121859,10,10,"belitz","onset",0
173.748048745822,162.68,11.0680487458223,10,10,"belitz","onset",0
150.716197398736,162.68,-11.9638026012643,10,10,"belitz","onset",0
168.899167400881,162.68,6.21916740088136,10,10,"belitz","onset",0
154.588347259949,162.68,-8.09165274005147,10,10,"belitz","onset",0
165.349850595888,162.68,2.66985059588819,10,10,"belitz","onset",0
160.735326161911,162.68,-1.94467383808868,10,10,"belitz","onset",0
156.867578094858,162.68,-5.81242190514175,10,10,"belitz","onset",0
153.554662808987,162.68,-9.12533719101316,10,10,"belitz","onset",0
183.792173820279,162.68,21.1121738202787,10,10,"belitz","onset",0
172.18664830162,162.68,9.50664830161972,10,10,"belitz","onset",0
168.403956299576,162.68,5.7239562995758,10,10,"belitz","onset",0
158.327835314222,162.68,-4.35216468577772,10,10,"belitz","onset",0
169.87364976157,162.68,7.19364976156965,10,10,"belitz","onset",0
166.11960450007,162.68,3.43960450007046,10,10,"belitz","onset",0
163.570928190498,162.68,0.890928190498386,10,10,"belitz","onset",0
175.15472229254,162.68,12.4747222925401,10,10,"belitz","onset",0
152.76068102983,162.68,-9.91931897017,10,10,"belitz","onset",0
160.342711656108,162.68,-2.33728834389214,10,10,"belitz","onset",0
167.07366567858,162.68,4.39366567857962,10,10,"belitz","onset",0
159.119572330703,162.68,-3.56042766929693,10,10,"belitz","onset",0
158.535691270099,162.68,-4.14430872990087,10,10,"belitz","onset",0
160.809307852766,162.68,-1.87069214723417,10,10,"belitz","onset",0
171.577263468233,162.68,8.89726346823267,10,10,"belitz","onset",0
176.146943758025,162.68,13.4669437580247,10,10,"belitz","onset",0
154.723325918444,162.68,-7.95667408155646,10,10,"belitz","onset",0
170.764438541866,162.68,8.08443854186581,10,10,"belitz","onset",0
156.790089741174,162.68,-5.88991025882649,10,10,"belitz","onset",0
151.026594885872,162.68,-11.6534051141276,10,10,"belitz","onset",0
144.052575678111,162.68,-18.6274243218886,10,10,"belitz","onset",0
179.907798386201,162.68,17.2277983862014,10,10,"belitz","onset",0
160.937267031097,162.68,-1.74273296890325,10,10,"belitz","onset",0
167.147363299514,162.68,4.46736329951446,10,10,"belitz","onset",0
162.097117640247,162.68,-0.582882359753427,10,10,"belitz","onset",0
188.6024498747,162.68,25.9224498746995,10,10,"belitz","onset",0
154.443890675877,162.68,-8.23610932412259,10,10,"belitz","onset",0
166.08061410878,162.68,3.40061410877971,10,10,"belitz","onset",0
167.995026603363,162.68,5.31502660336301,10,10,"belitz","onset",0
170.715732291007,162.68,8.03573229100692,10,10,"belitz","onset",0
162.828355799298,162.68,0.1483557992984,10,10,"belitz","onset",0
154.274986503763,162.68,-8.40501349623707,10,10,"belitz","onset",0
173.40751511318,162.68,10.7275151131797,10,10,"belitz","onset",0
172.468564601806,162.68,9.78856460180583,10,10,"belitz","onset",0
156.143401924182,162.68,-6.53659807581826,10,10,"belitz","onset",0
160.811747097397,162.68,-1.86825290260339,10,10,"belitz","onset",0
158.332768124309,162.68,-4.34723187569148,10,10,"belitz","onset",0
148.979940582193,162.68,-13.7000594178066,10,10,"belitz","onset",0
131.927613158538,162.68,-30.7523868414623,10,10,"belitz","onset",0
162.332166845981,162.68,-0.347833154018645,10,10,"belitz","onset",0
152.849391368921,162.68,-9.83060863107917,10,10,"belitz","onset",0
140.350144872726,162.68,-22.3298551272743,10,10,"belitz","onset",0
168.559998847993,162.68,5.87999884799291,10,10,"belitz","onset",0
171.286798738742,162.68,8.60679873874187,10,10,"belitz","onset",0
171.158534944592,162.68,8.47853494459184,10,10,"belitz","onset",0
173.19995023121,162.68,10.5199502312103,10,10,"belitz","onset",0
150.81922020047,162.68,-11.8607797995299,10,10,"belitz","onset",0
174.712485857328,162.68,12.0324858573283,10,10,"belitz","onset",0
159.260065922247,162.68,-3.4199340777532,10,10,"belitz","onset",0
168.895165858347,162.68,6.21516585834661,10,10,"belitz","onset",0
155.148743139537,162.68,-7.53125686046275,10,10,"belitz","onset",0
165.979840673974,162.68,3.2998406739737,10,10,"belitz","onset",0
167.985586188179,162.68,5.30558618817929,10,10,"belitz","onset",0
163.356115069351,162.68,0.67611506935134,10,10,"belitz","onset",0
155.041757220019,162.68,-7.63824277998089,10,10,"belitz","onset",0
166.167541458469,162.68,3.48754145846888,10,10,"belitz","onset",0
172.521443925591,162.68,9.84144392559125,10,10,"belitz","onset",0
167.514408124647,162.68,4.83440812464679,10,10,"belitz","onset",0
174.889705236705,162.68,12.2097052367054,10,10,"belitz","onset",0
178.666237883752,162.68,15.9862378837523,10,10,"belitz","onset",0
176.547296332466,162.68,13.8672963324663,10,10,"belitz","onset",0
160.255140618501,162.68,-2.424859381499,10,10,"belitz","onset",0
156.735409557252,162.68,-5.94459044274828,10,10,"belitz","onset",0
166.6758717674,162.68,3.99587176739951,10,10,"belitz","onset",0
161.411805904564,162.68,-1.26819409543597,10,10,"belitz","onset",0
168.82435572264,162.68,6.14435572264017,10,10,"belitz","onset",0
175.625771813065,162.68,12.9457718130654,10,10,"belitz","onset",0
155.869617720949,162.68,-6.81038227905108,10,10,"belitz","onset",0
166.258440282879,162.68,3.57844028287872,10,10,"belitz","onset",0
165.997176983626,162.68,3.31717698362624,10,10,"belitz","onset",0
172.54261937768,162.68,9.86261937767972,10,10,"belitz","onset",0
156.962130963151,162.68,-5.71786903684924,10,10,"belitz","onset",0
161.156181111287,162.68,-1.52381888871312,10,10,"belitz","onset",0
146.097247362451,162.68,-16.5827526375487,10,10,"belitz","onset",0
154.810666876162,162.68,-7.8693331238384,10,10,"belitz","onset",0
134.13384763505,119.92,14.21384763505,10,20,"belitz","onset",0
134.179145530121,119.92,14.2591455301206,10,20,"belitz","onset",0
145.192267063493,119.92,25.2722670634929,10,20,"belitz","onset",0
153.122160341609,119.92,33.2021603416094,10,20,"belitz","onset",0
132.980213947165,119.92,13.0602139471646,10,20,"belitz","onset",0
138.382978491262,119.92,18.4629784912619,10,20,"belitz","onset",0
142.519515042878,119.92,22.5995150428777,10,20,"belitz","onset",0
153.092513859893,119.92,33.1725138598925,10,20,"belitz","onset",0
130.857584701219,119.92,10.9375847012187,10,20,"belitz","onset",0
148.239588361409,119.92,28.3195883614087,10,20,"belitz","onset",0
142.289667405634,119.92,22.3696674056337,10,20,"belitz","onset",0
127.283102500853,119.92,7.36310250085317,10,20,"belitz","onset",0
144.928780087372,119.92,25.0087800873723,10,20,"belitz","onset",0
145.55037709149,119.92,25.6303770914898,10,20,"belitz","onset",0
122.668699622956,119.92,2.74869962295604,10,20,"belitz","onset",0
124.514963559903,119.92,4.59496355990349,10,20,"belitz","onset",0
97.4875468992144,119.92,-22.4324531007856,10,20,"belitz","onset",0
145.497954940866,119.92,25.5779549408659,10,20,"belitz","onset",0
114.754646162809,119.92,-5.16535383719093,10,20,"belitz","onset",0
144.811648647006,119.92,24.8916486470055,10,20,"belitz","onset",0
151.141671230797,119.92,31.221671230797,10,20,"belitz","onset",0
117.50144235556,119.92,-2.41855764443993,10,20,"belitz","onset",0
129.974598046821,119.92,10.0545980468211,10,20,"belitz","onset",0
107.579926246554,119.92,-12.3400737534459,10,20,"belitz","onset",0
112.446247410968,119.92,-7.4737525890321,10,20,"belitz","onset",0
129.634905479969,119.92,9.71490547996875,10,20,"belitz","onset",0
133.792046596726,119.92,13.8720465967257,10,20,"belitz","onset",0
149.490026229207,119.92,29.5700262292067,10,20,"belitz","onset",0
126.457252291676,119.92,6.5372522916763,10,20,"belitz","onset",0
142.325151140616,119.92,22.4051511406159,10,20,"belitz","onset",0
139.01145861701,119.92,19.0914586170103,10,20,"belitz","onset",0
111.766926679892,119.92,-8.15307332010752,10,20,"belitz","onset",0
155.943192873803,119.92,36.0231928738031,10,20,"belitz","onset",0
130.868784247515,119.92,10.9487842475152,10,20,"belitz","onset",0
125.141829393994,119.92,5.22182939399387,10,20,"belitz","onset",0
161.512172884542,119.92,41.5921728845421,10,20,"belitz","onset",0
124.210118859163,119.92,4.29011885916263,10,20,"belitz","onset",0
130.699834896875,119.92,10.7798348968746,10,20,"belitz","onset",0
137.320680175615,119.92,17.4006801756147,10,20,"belitz","onset",0
135.841679172491,119.92,15.9216791724905,10,20,"belitz","onset",0
139.979227247193,119.92,20.0592272471934,10,20,"belitz","onset",0
141.792000495976,119.92,21.8720004959759,10,20,"belitz","onset",0
130.671235410397,119.92,10.7512354103973,10,20,"belitz","onset",0
144.111857535339,119.92,24.1918575353386,10,20,"belitz","onset",0
130.298137050454,119.92,10.3781370504538,10,20,"belitz","onset",0
123.131507949553,119.92,3.21150794955311,10,20,"belitz","onset",0
