"estimate","lowCI","highCI","true_value","distance","obs","sd","estimator","perc","Q"
123.274060940511,86.7201449535065,129.546837806922,113.29,9.9840609405106,10,10,"pearse","onset",0
102.182823049302,9.88547907417478,124.193346859253,113.29,-11.107176950698,10,10,"pearse","onset",0
135.814808486927,118.073654535987,137.58946874666,113.29,22.5248084869267,10,10,"pearse","onset",0
134.93812341214,106.768345329236,139.206595711496,113.29,21.6481234121405,10,10,"pearse","onset",0
107.673554014853,27.5824285685583,126.44813259097,113.29,-5.61644598514671,10,10,"pearse","onset",0
133.725095960799,118.30858436561,135.032707138799,113.29,20.4350959607991,10,10,"pearse","onset",0
130.625168194676,99.2762144480328,135.36284303573,113.29,17.3351681946764,10,10,"pearse","onset",0
128.79258383597,64.9427366350665,143.856428920871,113.29,15.5025838359697,10,10,"pearse","onset",0
129.3883023613,100.442632129731,133.65766156877,113.29,16.0983023613002,10,10,"pearse","onset",0
118.864615993431,55.279626794939,133.832883322228,113.29,5.57461599343138,10,10,"pearse","onset",0
136.913508243952,120.518028886084,138.399972792938,113.29,23.6235082439523,10,10,"pearse","onset",0
136.387850856508,115.436241580367,138.804109242561,113.29,23.0978508565075,10,10,"pearse","onset",0
129.178447181982,102.733822772547,132.627932639465,113.29,15.8884471819816,10,10,"pearse","onset",0
121.987276616407,86.0935557192949,128.247177350417,113.29,8.69727661640677,10,10,"pearse","onset",0
133.904444430862,108.533487909003,136.879473636479,113.29,20.6144444308616,10,10,"pearse","onset",0
116.202717927232,81.1009891914897,124.576115541412,113.29,2.91271792723175,10,10,"pearse","onset",0
132.886809268891,101.069928249421,137.684609297373,113.29,19.5968092688912,10,10,"pearse","onset",0
141.467079257007,111.553707630407,146.448561922933,113.29,28.1770792570074,10,10,"pearse","onset",0
135.58772619581,104.640188549731,140.701653588198,113.29,22.2977261958095,10,10,"pearse","onset",0
138.123839301582,117.641995636668,140.704884148096,113.29,24.8338393015817,10,10,"pearse","onset",0
131.584306354765,117.75641989956,132.911534588848,113.29,18.2943063547653,10,10,"pearse","onset",0
130.052116322856,74.0214064887774,142.97168314689,113.29,16.7621163228559,10,10,"pearse","onset",0
126.331152605302,98.029134918536,129.641345099012,113.29,13.0411526053024,10,10,"pearse","onset",0
140.487111419403,120.12049688281,143.396863119283,113.29,27.1971114194031,10,10,"pearse","onset",0
125.651599119008,92.7936548192965,130.813738022118,113.29,12.3615991190076,10,10,"pearse","onset",0
123.059512509365,83.0428581255873,131.132167219954,113.29,9.76951250936482,10,10,"pearse","onset",0
135.324614051184,113.424654740755,137.750396005518,113.29,22.0346140511837,10,10,"pearse","onset",0
122.560067578658,103.115456980211,124.682427748878,113.29,9.27006757865816,10,10,"pearse","onset",0
133.857139563461,126.256290414718,134.268652596246,113.29,20.5671395634606,10,10,"pearse","onset",0
135.89241156064,116.840577559054,137.924936216932,113.29,22.6024115606403,10,10,"pearse","onset",0
137.75992949572,122.045801879136,139.143976679439,113.29,24.4699294957197,10,10,"pearse","onset",0
135.814664708211,118.514096422995,137.589211940639,113.29,22.5246647082106,10,10,"pearse","onset",0
130.119818744679,73.573420116145,143.263964834652,113.29,16.8298187446785,10,10,"pearse","onset",0
120.921798050004,78.4280933730659,128.641230063672,113.29,7.63179805000442,10,10,"pearse","onset",0
117.191826366654,70.7253425382478,126.41956836739,113.29,3.90182636665409,10,10,"pearse","onset",0
125.07666071671,93.7635501115216,130.05731491313,113.29,11.7866607167099,10,10,"pearse","onset",0
118.921908750684,71.3665679097044,128.250853620646,113.29,5.63190875068416,10,10,"pearse","onset",0
137.320526574141,125.167585535356,138.135157896704,113.29,24.0305265741409,10,10,"pearse","onset",0
127.140885039705,92.4460216686874,132.656174705243,113.29,13.8508850397054,10,10,"pearse","onset",0
130.507192648216,111.310186399327,132.842094773153,113.29,17.2171926482161,10,10,"pearse","onset",0
126.719132361477,72.6874858525063,138.098374582146,113.29,13.4291323614766,10,10,"pearse","onset",0
155.94768042905,131.278406752164,159.84724003006,113.29,42.6576804290496,10,10,"pearse","onset",0
140.871065681682,127.192360462747,141.830696252547,113.29,27.5810656816818,10,10,"pearse","onset",0
114.716653514545,61.8490741145761,126.284701095903,113.29,1.42665351454522,10,10,"pearse","onset",0
129.729922584128,112.624344164236,131.500203242251,113.29,16.439922584128,10,10,"pearse","onset",0
129.309045093367,107.475465200791,131.733022293176,113.29,16.019045093367,10,10,"pearse","onset",0
126.370397790206,95.3277163355652,130.778503283337,113.29,13.0803977902056,10,10,"pearse","onset",0
124.23017101316,80.8384992925835,132.428931902451,113.29,10.9401710131596,10,10,"pearse","onset",0
134.96293628378,116.594070687152,136.814125001529,113.29,21.6729362837798,10,10,"pearse","onset",0
132.6803996769,114.211043868956,134.652994599673,113.29,19.3903996768997,10,10,"pearse","onset",0
138.651937129223,105.79156427933,144.718115624806,113.29,25.3619371292229,10,10,"pearse","onset",0
136.401226418854,110.032861953113,139.923453592778,113.29,23.1112264188541,10,10,"pearse","onset",0
117.893555103326,24.3918001233009,139.111903531792,113.29,4.60355510332631,10,10,"pearse","onset",0
130.831062954802,113.765953821577,134.22651812767,113.29,17.5410629548023,10,10,"pearse","onset",0
137.155718768536,114.953624110231,139.773149995984,113.29,23.865718768536,10,10,"pearse","onset",0
120.140098365864,73.171767598204,129.522827276761,113.29,6.8500983658641,10,10,"pearse","onset",0
128.297699699326,96.6629787490515,133.670867764269,113.29,15.0076996993257,10,10,"pearse","onset",0
125.776619415938,87.9175174462918,132.439293096284,113.29,12.4866194159385,10,10,"pearse","onset",0
119.317178546175,84.0879917230282,125.579242812437,113.29,6.02717854617516,10,10,"pearse","onset",0
138.489756054192,116.848009119337,141.610900636168,113.29,25.1997560541924,10,10,"pearse","onset",0
117.067552273769,54.3756745843485,130.966485893151,113.29,3.77755227376915,10,10,"pearse","onset",0
123.952048161026,86.3998010874931,130.349166888366,113.29,10.6620481610263,10,10,"pearse","onset",0
132.506819339067,111.218444471091,134.819823483867,113.29,19.2168193390666,10,10,"pearse","onset",0
136.040665640711,108.574278844063,139.932441318996,113.29,22.7506656407112,10,10,"pearse","onset",0
116.349538203832,56.1816297208854,129.225462729687,113.29,3.05953820383239,10,10,"pearse","onset",0
135.254468091913,111.074069950334,138.368376815401,113.29,21.9644680919125,10,10,"pearse","onset",0
128.43816388271,96.6957207753893,133.71937175018,113.29,15.1481638827102,10,10,"pearse","onset",0
127.348571157794,96.4800469527252,131.980241337018,113.29,14.0585711577944,10,10,"pearse","onset",0
132.47428944824,102.668581310381,137.073149611525,113.29,19.1842894482398,10,10,"pearse","onset",0
129.355130962496,94.4091544209102,136.199967352495,113.29,16.0651309624955,10,10,"pearse","onset",0
123.105382445895,54.8821343821224,139.106093019493,113.29,9.81538244589547,10,10,"pearse","onset",0
135.014367168341,109.945724348872,137.952451886155,113.29,21.724367168341,10,10,"pearse","onset",0
131.740559839294,105.67499872958,134.806469889434,113.29,18.4505598392935,10,10,"pearse","onset",0
