"estimate","true_value","distance","obs","sd","estimator","perc","Q"
168.796667214283,196.61,-27.8133327857169,10,10,"mean","Mean",50.5
186.393690152692,196.61,-10.2163098473082,10,10,"mean","Mean",50.5
163.295489730378,196.61,-33.3145102696218,10,10,"mean","Mean",50.5
176.812081955586,196.61,-19.7979180444138,10,10,"mean","Mean",50.5
185.377718182127,196.61,-11.2322818178727,10,10,"mean","Mean",50.5
156.110668391186,196.61,-40.4993316088139,10,10,"mean","Mean",50.5
170.359304062596,196.61,-26.250695937404,10,10,"mean","Mean",50.5
193.026558499405,196.61,-3.58344150059457,10,10,"mean","Mean",50.5
169.02777273543,196.61,-27.5822272645702,10,10,"mean","Mean",50.5
182.36478198495,196.61,-14.2452180150504,10,10,"mean","Mean",50.5
163.126294951574,196.61,-33.4837050484256,10,10,"mean","Mean",50.5
170.168970861706,196.61,-26.4410291382941,10,10,"mean","Mean",50.5
165.31752007103,196.61,-31.2924799289699,10,10,"mean","Mean",50.5
163.815310896208,196.61,-32.7946891037918,10,10,"mean","Mean",50.5
176.679195949179,196.61,-19.9308040508206,10,10,"mean","Mean",50.5
147.453834368047,196.61,-49.1561656319527,10,10,"mean","Mean",50.5
177.169753316661,196.61,-19.4402466833388,10,10,"mean","Mean",50.5
185.469742397554,196.61,-11.1402576024457,10,10,"mean","Mean",50.5
184.607861912858,196.61,-12.002138087142,10,10,"mean","Mean",50.5
175.862138757945,196.61,-20.7478612420548,10,10,"mean","Mean",50.5
150.29939280585,196.61,-46.31060719415,10,10,"mean","Mean",50.5
189.17306331674,196.61,-7.43693668326034,10,10,"mean","Mean",50.5
163.291576856101,196.61,-33.3184231438993,10,10,"mean","Mean",50.5
165.988599249054,196.61,-30.6214007509455,10,10,"mean","Mean",50.5
163.848291496914,196.61,-32.7617085030855,10,10,"mean","Mean",50.5
166.862331465086,196.61,-29.7476685349141,10,10,"mean","Mean",50.5
170.651853684052,196.61,-25.9581463159481,10,10,"mean","Mean",50.5
148.213400868762,196.61,-48.396599131238,10,10,"mean","Mean",50.5
149.409819306102,196.61,-47.2001806938976,10,10,"mean","Mean",50.5
169.571612757144,196.61,-27.0383872428557,10,10,"mean","Mean",50.5
169.208786761987,196.61,-27.4012132380126,10,10,"mean","Mean",50.5
165.274816270368,196.61,-31.3351837296318,10,10,"mean","Mean",50.5
189.909785736443,196.61,-6.70021426355737,10,10,"mean","Mean",50.5
169.031453241414,196.61,-27.5785467585856,10,10,"mean","Mean",50.5
