"scientific_name","latitude","longitude","id","user_login","observed_on","day","year","data_source","file","adults","life_stage"
"Danaus plexippus",41.6179116667,-87.2078166667,12779193,"wilderless","2018-05-23",143,2018,"iNaturalist","d_plexippus12779193.jpg",1,"-"
"Danaus plexippus",36.6537269876,-93.2927811899,12789556,"bugguy_matt","2018-05-23",143,2018,"iNaturalist","d_plexippus12789556.jpg",0,"L"
"Danaus plexippus",40.2586583333,-83.0697638333,12797431,"mmnat","2018-05-24",144,2018,"iNaturalist","d_plexippus12797431.jpg",0,"E"
"Danaus plexippus",39.6191116667,-84.090755,12806090,"jimdanzi","2018-05-25",145,2018,"iNaturalist","d_plexippus12806090.jpg",1,"-"
"Danaus plexippus",41.6155046117,-81.3384838305,12826072,"becky5","2018-05-25",145,2018,"iNaturalist","d_plexippus12826072.jpg",1,"-"
"Danaus plexippus",41.5948469123,-93.2815271616,12827065,"davidelchoma","2018-05-25",145,2018,"iNaturalist","d_plexippus12827065.jpg",0,"E"
"Danaus plexippus",39.2467538746,-76.7456179153,12831112,"inspectahdarwin","2018-05-25",145,2018,"iNaturalist","d_plexippus12831112.jpg",1,"-"
"Danaus plexippus",41.956925,-87.7538133333,12901620,"jennifersnyder","2018-05-28",148,2018,"iNaturalist","d_plexippus12901620.jpg",1,"-"
"Danaus plexippus",38.6605709076,-78.4903521332,12936491,"kbeza31979","2018-05-25",145,2018,"iNaturalist","d_plexippus12936491.jpg",1,"-"
"Danaus plexippus",41.98138,-87.738495,12957323,"skrentnyjeff","2018-05-30",150,2018,"iNaturalist","d_plexippus12957323.jpg",0,"L"
"Danaus plexippus",41.4280487784,-87.7949952801,12960007,"treefahrner","2018-05-30",150,2018,"iNaturalist","d_plexippus12960007.jpg",0,"L"
"Danaus plexippus",39.2610525945,-93.2629516069,12963693,"kelleyfuemmeler","2018-05-30",150,2018,"iNaturalist","d_plexippus12963693.jpg",0,"L"
"Danaus plexippus",39.2583667,-75.4550812,12966153,"ellendale","2018-05-30",150,2018,"iNaturalist","d_plexippus12966153.jpg",1,"-"
"Danaus plexippus",40.079728,-88.204336,12968162,"lyndah","2018-05-29",149,2018,"iNaturalist","d_plexippus12968162.jpg",0,"L"
"Danaus plexippus",38.588555,-92.2321333333,12971358,"amlambert11","2018-05-30",150,2018,"iNaturalist","d_plexippus12971358.jpg",0,"L"
"Danaus plexippus",41.7842570743,-87.5824713707,12975150,"isaac_krone","2018-05-23",143,2018,"iNaturalist","d_plexippus12975150.jpg",1,"-"
"Danaus plexippus",38.0966717672,-88.9135292079,12975731,"katieashdown","2018-05-28",148,2018,"iNaturalist","d_plexippus12975731.jpg",1,"-"
"Danaus plexippus",37.2000084864,-80.5860952847,12981763,"kacatron","2018-05-31",151,2018,"iNaturalist","d_plexippus12981763.jpg",1,"-"
"Danaus plexippus",39.144573,-84.508617,12985196,"czbgbuzztroop","2018-05-31",151,2018,"iNaturalist","d_plexippus12985196.jpg",1,"-"
"Danaus plexippus",41.8679741398,-87.6127585397,12986731,"cgunnlents","2018-05-31",151,2018,"iNaturalist","d_plexippus12986731.jpg",0,"L"
"Danaus plexippus",38.5541610718,-90.5445404053,12992576,"krutledge","2018-05-31",151,2018,"iNaturalist","d_plexippus12992576.jpg",1,"-"
"Danaus plexippus",41.9264324856,-87.7094724566,13011023,"taco2000","2018-06-01",152,2018,"iNaturalist","d_plexippus13011023.jpg",0,"L"
"Danaus plexippus",41.6343833333,-87.6439883333,13019717,"jackassgardener","2018-06-01",152,2018,"iNaturalist","d_plexippus13019717.jpg",0,"L"
"Danaus plexippus",36.065675,-86.7280666667,13049809,"onagraceoid","2018-06-02",153,2018,"iNaturalist","d_plexippus13049809.jpg",1,"-"
"Danaus plexippus",36.0657416667,-86.72812,13054457,"onagraceoid","2018-06-02",153,2018,"iNaturalist","d_plexippus13054457.jpg",0,"L"
"Danaus plexippus",40.7934303284,-77.8594207764,13055940,"michaelskvarla","2018-06-02",153,2018,"iNaturalist","d_plexippus13055940.jpg",0,"L"
"Danaus plexippus",38.9618645423,-92.5319177193,13062548,"ericfritz","2018-06-02",153,2018,"iNaturalist","d_plexippus13062548.jpg",0,"L"
"Danaus plexippus",36.1208528333,-79.8316333333,13066046,"englet","2018-05-31",151,2018,"iNaturalist","d_plexippus13066046.jpg",1,"-"
"Danaus plexippus",39.994699554,-83.2561889291,13075139,"ashleyw2","2018-06-02",153,2018,"iNaturalist","d_plexippus13075139.jpg",1,"-"
"Danaus plexippus",40.9933297964,-81.8517770764,13076076,"dotterer2004","2018-05-31",151,2018,"iNaturalist","d_plexippus13076076.jpg",1,"-"
"Danaus plexippus",41.7039916667,-87.881325,13082661,"jackassgardener","2018-06-03",154,2018,"iNaturalist","d_plexippus13082661.jpg",0,"L"
"Danaus plexippus",41.3085487344,-88.9415186708,13103486,"observer26","2018-05-24",144,2018,"iNaturalist","d_plexippus13103486.jpg",1,"-"
"Danaus plexippus",41.7827308132,-87.5840055943,13113648,"lslavicek","2018-06-04",155,2018,"iNaturalist","d_plexippus13113648.jpg",0,"L"
"Danaus plexippus",38.5516433716,-90.5503082275,13124341,"krutledge","2018-06-04",155,2018,"iNaturalist","d_plexippus13124341.jpg",0,"L"
"Danaus plexippus",39.7006506846,-86.0402805638,13128579,"kristen_d","2018-06-04",155,2018,"iNaturalist","d_plexippus13128579.jpg",0,"P"
"Danaus plexippus",41.8200151388,-88.0874679031,13131074,"woodridgejeff","2018-06-03",154,2018,"iNaturalist","d_plexippus13131074.jpg",1,"-"
"Danaus plexippus",38.5517539978,-90.5503387451,13134875,"krutledge","2018-06-04",155,2018,"iNaturalist","d_plexippus13134875.jpg",0,"L"
"Danaus plexippus",38.6404083333,-90.29058,13139017,"billyhaag9","2018-06-04",155,2018,"iNaturalist","d_plexippus13139017.jpg",0,"L"
"Danaus plexippus",39.1128416667,-75.48452,13166327,"katjustis","2018-05-29",149,2018,"iNaturalist","d_plexippus13166327.jpg",1,"-"
"Danaus plexippus",38.5504627492,-93.2984410711,13172888,"jessilynn","2018-06-05",156,2018,"iNaturalist","d_plexippus13172888.jpg",0,"L"
"Danaus plexippus",37.3247876129,-76.7610240989,13177778,"swampcicada","2018-06-06",157,2018,"iNaturalist","d_plexippus13177778.jpg",1,"-"
"Danaus plexippus",41.3430480957,-88.1344223022,13177851,"annechw","2018-06-06",157,2018,"iNaturalist","d_plexippus13177851.jpg",0,"L"
"Danaus plexippus",41.677061,-87.870496,13178133,"sanguinaria33","2018-06-03",154,2018,"iNaturalist","d_plexippus13178133.jpg",1,"-"
"Danaus plexippus",41.9268118002,-87.6355041293,13180324,"jvreeland","2018-06-06",157,2018,"iNaturalist","d_plexippus13180324.jpg",0,"L"
"Danaus plexippus",41.6977484623,-87.9779563844,13193273,"paulefields","2018-06-03",154,2018,"iNaturalist","d_plexippus13193273.jpg",1,"-"
"Danaus plexippus",41.4809497512,-81.7818675631,13214649,"yram67","2018-06-07",158,2018,"iNaturalist","d_plexippus13214649.jpg",0,"L"
"Danaus plexippus",41.9629449864,-87.6332614003,13222575,"paulroots","2018-06-06",157,2018,"iNaturalist","d_plexippus13222575.jpg",0,"L"
"Danaus plexippus",41.6735364916,-87.5607923326,13230469,"emilyhelm","2018-06-08",159,2018,"iNaturalist","d_plexippus13230469.jpg",0,"L"
"Danaus plexippus",41.8386114675,-88.2641447474,13239470,"joseph8","2018-06-08",159,2018,"iNaturalist","d_plexippus13239470.jpg",0,"P"
"Danaus plexippus",36.6537466667,-93.2927033333,13240734,"bugguy_matt","2018-06-07",158,2018,"iNaturalist","d_plexippus13240734.jpg",1,"-"
"Danaus plexippus",41.78788,-87.58393,13243995,"taco2000","2018-06-08",159,2018,"iNaturalist","d_plexippus13243995.jpg",1,"-"
"Danaus plexippus",41.2577283333,-82.0615221667,13245046,"bwhiteley","2018-06-08",159,2018,"iNaturalist","d_plexippus13245046.jpg",0,"L"
"Danaus plexippus",38.5905583333,-92.2358333333,13250506,"amlambert11","2018-06-08",159,2018,"iNaturalist","d_plexippus13250506.jpg",0,"L"
"Danaus plexippus",41.5552791924,-93.2924419847,13256912,"davidelchoma","2018-06-07",158,2018,"iNaturalist","d_plexippus13256912.jpg",1,"-"
"Danaus plexippus",39.3999920496,-74.3969744148,13263634,"lrosenbergmd","2018-06-09",160,2018,"iNaturalist","d_plexippus13263634.jpg",1,"-"
"Danaus plexippus",41.4094330743,-81.8843193167,13264767,"madibacci","2018-06-09",160,2018,"iNaturalist","d_plexippus13264767.jpg",0,"L"
"Danaus plexippus",38.58842155,-92.23154948,13266376,"joshmcpherson","2018-06-09",160,2018,"iNaturalist","d_plexippus13266376.jpg",0,"L"
"Danaus plexippus",41.1569278333,-81.960975,13290514,"medina22","2018-06-07",158,2018,"iNaturalist","d_plexippus13290514.jpg",0,"L"
