hex_ids,inat_obs,quan_est,phen_est,phest_est
681136.8308,681501.0632,681506.2125,681826.001,681834.0571
687624.2818,687645.5081,687679.1977,687697.2654,687711.9211
688172.8275,688200.3119,688205.8687,688232.0709,688232.529
688523.3337,689170.6946,689333.2421,689364.8764,689393.7235
690732.2472,690733.2634,690733.7556,690735.2531,690735.6166
517673.9534,517359.5815,531665.0541,531135.628,516250.6418
533212.1443,533216.6254,533209.8908,523413.6218,523618.2316
527010.9852,526146.1823,526311.6541,526259.7707,526159.5609
525231.0586,525231.6779,525115.9808,525101.2656,525100.5876
521177.2193,519539.7576,519754.6336,519540.0647,519624.4548
519148.0098,518646.6049, 518646.822934894),,
591,3,227,177.7435624,NA
593,2,214,NA,NA
594,67,133,120.1790667,126.3961381
511125.3108,510732.178,510436.1791,510720.3706,510871.7153
625,2,136,78.78243149,NA
626,7,143,112.2756789,67.65183643
638,220,222,211.0399264,NA
732077.7471,732078.0787,732078.4029,732078.4649,732078.5293
732081.5228,732081.9951,732082.7015,732083.2329,732083.8281
732090.5018,732091.0023,732091.0686,732091.4887,732091.5902
732102.6064,732102.8015,732103.133,732103.135,732103.2524
732111.8507,732111.8803,732112.8207,732112.833,732112.877
732116.5096,732116.652,732116.8502,732116.936,732116.9899
732124.5374,732124.6783,732124.6912,732127.3426,732128.2779
253973.6758,253970.5755,253987.5483,253971.6083,253971.6126
253951.557,253952.1761,253953.8168,253970.3515,253976.4379
253947.3345,253949.7999,253947.0673,253951.6787,253965.5706
253934.2744,253996.6008,253931.1666,253932.9214,253939.327
254001.8649,253961.2342,253933.6434,253936.3592,253912.3684
253953.0669,253972.6264,253951.7495,253948.1663,253968.9174
253932.9753,253962.1375,253962.0798,253994.0668,253991.5782
253945.2051, 253944.172861356),,,
669,2,244,NA,NA
671,8,187,136.0219605,176.3241179
679,2,219,174.8622459,NA
689,2,142,10.03077598,NA
710,16,153,142.1496765,128.137967
-116351.6886,-120352.1016,-120231.36, -120233.273558934),
711,3,231,215.1298831,35.26316952
717,5,164,121.5213636,116.1626479
718,4,169,136.7681681,99.29910387
726,6,176,140.0228751,103.1796344
733,7,203,171.2411295,188.3588343
734,20,166,117.7185164,159.5829101
317589.2724,305328.582,304472.0656,306415.5745,306406.4944
735,3,214,156.8006667,189.9955293
736,2,229,226.3061275,NA
742,2,170,NA,NA
749,10,162,105.4172109,150.9446674
763,2,181,NA,NA
764,2,175,73.49411206,NA
765,2,209,164.5800551,NA
766,2,232,202.1507729,NA
778,5,183,152.0880001,17.82442662
790,2,189,NA,NA
793,3,203,147.790993,155.3270349
798,5,220,132.9332014,216.3347937
809,18,214,198.4414263,197.6590823
815,3,200,148.4714058,141.7549113
820,3,221,162.6968924,216.5340175
828,5,200,168.9105165,117.4041771
832,2,215,198.2608794,NA
843,2,204,190.4132739,NA
852,2,303,NA,NA
858,2,226,207.5969191,NA
871,3,218,187.675565,111.9718564
872,2,192,93.04993571,NA
874,7,196,151.9506284,168.8452451
875,2,241,218.4546918,NA
876,3,165,83.38159825,-204.016877
889,2,219,145.1879321,NA
890,14,211,167.0431326,206.9988875
),,,,
904,6,233,164.8989059,228.1085818
906,36,151,146.5452591,138.5833934
243833.1529,243749.127,244989.6173,244929.2925,245031.198
907,15,175,155.016764,146.0014958
298015.7887, 278222.24368392),,,
916,3,225,180.6215916,217.3574702
919,2,221,173.1501394,NA
