"hex_ids","inat_obs","quan_est","phen_est","phest_est","jn_obs","benchmark","q_error","phest_error","phenesse_error"
75,7,208,135.134714427019,187.515499007701,6,126,82,61.5154990077012,9.13471442701874
112,8,209,149.898253923385,179.661888761472,2,121,88,58.6618887614723,28.8982539233845
194,11,175,151.387546449266,139.409864849063,4,126,49,13.4098648490626,25.3875464492656
263,3,173,133.570935893131,28.8848693150795,3,144,29,-115.11513068492,-10.4290641068688
309,2,230,178.736130559819,NA,1,128,102,NA,50.7361305598187
325,3,174,112.690541218433,3.75237029090954,5,136,38,-132.24762970909,-23.3094587815667
335,13,209,199.143822252331,181.73191040807,2,121,88,60.7319104080705,78.1438222523311
352,5,205,191.563590764033,157.31078849767,3,122,83,35.3107884976698,69.5635907640333
358,2,197,99.5684332701416,NA,2,135,62,NA,-35.4315667298584
367,56,151,138.551404476806,133.966981006795,11,103,48,30.9669810067946,35.5514044768065
368,2,172,94.8924250411576,NA,1,129,43,NA,-34.1075749588424
398,3,211,165.27182975133,186.965102503747,1,150,61,36.9651025037468,15.2718297513296
419,4,203,172.986700724492,126.737085732646,1,137,66,-10.2629142673539,35.9867007244919
435,2,134,31.5479474451907,NA,1,131,3,NA,-99.4520525548093
437,4,173,109.111101133187,144.105296845662,1,147,26,-2.89470315433823,-37.8888988668129
449,4,231,200.698805599999,NA,1,126,105,NA,74.6988055999985
454,2,176,NA,NA,1,142,34,NA,NA
499,2,190,72.382483167396,NA,1,140,50,NA,-67.617516832604
531,13,173,116.788669426033,168.275331653056,4,124,49,44.2753316530565,-7.21133057396685
544,13,193,171.687397295717,164.402322225802,2,124,69,40.4023222258022,47.6873972957174
547,8,181,149.129550694381,168.121500504713,4,128,53,40.1215005047127,21.1295506943807
548,21,143,81.8556162737384,136.411780601602,6,134,9,2.41178060160172,-52.1443837262616
563,28,136,115.777565753177,126.898518254357,10,127,9,-0.101481745643198,-11.2224342468231
568,3,164,115.754590031498,NA,1,120,44,NA,-4.2454099685022
578,3,175,141.007545518667,60.1300423894598,2,137,38,-76.8699576105402,4.00754551866672
579,159,136,134.671963174757,126.970280515921,16,134,2,-7.02971948407905,0.671963174756911
594,67,133,120.317646389244,123.250540330388,7,125,8,-1.74945966961226,-4.68235361075557
671,8,187,135.810636749386,176.324117884095,2,132,55,44.3241178840949,3.81063674938611
710,16,153,143.091425490913,128.137966974383,2,108,45,20.1379669743828,35.0914254909129
717,5,164,118.570504009882,116.16264786827,2,128,36,-11.8373521317304,-9.42949599011803
734,20,166,116.28659731818,159.582910144441,2,130,36,29.5829101444408,-13.7134026818201
735,3,214,157.975872355623,189.995529285713,1,178,36,11.9955292857134,-20.0241276443765
765,2,209,164.698036341356,NA,2,130,79,NA,34.698036341356
790,2,189,NA,NA,1,111,78,NA,NA
809,18,214,198.877167656879,197.6590823283,3,124,90,73.6590823282997,74.8771676568787
815,3,200,149.221957051109,141.754911269563,3,137,63,4.75491126956348,12.2219570511087
820,3,221,161.006942613811,216.534017503784,1,110,111,106.534017503784,51.0069426138111
843,2,204,190.106366314937,NA,1,160,44,NA,30.1063663149368
858,2,226,206.627928566027,NA,1,136,90,NA,70.6279285660272
871,3,218,187.478809668194,111.971856419418,1,168,50,-56.0281435805824,19.4788096681942
872,2,192,94.7596762797556,NA,1,170,22,NA,-75.2403237202444
874,7,196,151.990758215815,168.845245089666,1,132,64,36.8452450896655,19.9907582158149
875,2,241,218.754818960701,NA,1,127,114,NA,91.7548189607012
